path	baseline_path	kind	classification	cmake_selection	current_sha256	baseline_sha256	canonical_current_sha256	canonical_baseline_sha256	disposition
src/core/softpc/base/ccpu386/neg.c	base/ccpu386/neg.c	source-or-header	identical-original	ccpu-manifest	a4fede2b745ac97036460e7a516c7673ecc5cfa4c1a12013c3834006a8089a16	a4fede2b745ac97036460e7a516c7673ecc5cfa4c1a12013c3834006a8089a16	2bf57c6881d798cd0ce3738ce2eb8792cbb6eb3d5d09c7e69001df6d1c703f48	2bf57c6881d798cd0ce3738ce2eb8792cbb6eb3d5d09c7e69001df6d1c703f48	retain-pristine
src/core/softpc/base/ccpu386/neg.h	base/ccpu386/neg.h	source-or-header	identical-original	not-directly-selected	5cc7a74536f9734b48ee6cf85ad3f4401f4e1898a9039c2201b573ef0943f3f1	5cc7a74536f9734b48ee6cf85ad3f4401f4e1898a9039c2201b573ef0943f3f1	95e61d8c2712369c2a98de8d65610c50af462e92e3dcc5d166fdd72e2a4ed6ee	95e61d8c2712369c2a98de8d65610c50af462e92e3dcc5d166fdd72e2a4ed6ee	retain-pristine
src/core/softpc/base/ccpu386/newnpx.h	base/ccpu386/newnpx.h	source-or-header	identical-original	not-directly-selected	ba439d5aedfb13930bc2571d6df13ca3372c04e54b3617cb478b52dac0e35677	ba439d5aedfb13930bc2571d6df13ca3372c04e54b3617cb478b52dac0e35677	1df5cd4b82f516cbc74f676eac89d8e7617c644281bcf81b6e814ad8dd9d6075	1df5cd4b82f516cbc74f676eac89d8e7617c644281bcf81b6e814ad8dd9d6075	retain-pristine
src/core/softpc/base/ccpu386/nop.c	base/ccpu386/nop.c	source-or-header	identical-original	ccpu-manifest	b80104e06ba7394c8b4e7a5ce82c19dc9681dbcd149bd2232f1770802d6d10b9	b80104e06ba7394c8b4e7a5ce82c19dc9681dbcd149bd2232f1770802d6d10b9	656d812d3a6a197b62a469e7382c166ae05c87d82b95fde5fe0f361e2da465ed	656d812d3a6a197b62a469e7382c166ae05c87d82b95fde5fe0f361e2da465ed	retain-pristine
src/core/softpc/base/ccpu386/nop.h	base/ccpu386/nop.h	source-or-header	identical-original	not-directly-selected	f708f19017ca52ef96b8f3f8cd38fd3e4acf93404cc242b188b37eb3aab66602	f708f19017ca52ef96b8f3f8cd38fd3e4acf93404cc242b188b37eb3aab66602	06ed9aceba696ed97037f5526370939f4f34ba712fae6e18bd9e11e16cc63f5a	06ed9aceba696ed97037f5526370939f4f34ba712fae6e18bd9e11e16cc63f5a	retain-pristine
src/core/softpc/base/ccpu386/not.c	base/ccpu386/not.c	source-or-header	identical-original	ccpu-manifest	5a9167e678094855463f96f0ff6d959cbb3f2d356af3c94ab74c9f4ba6bf68f8	5a9167e678094855463f96f0ff6d959cbb3f2d356af3c94ab74c9f4ba6bf68f8	9b18274e8161bb58a9f64d5cf1f66950638c5e628fc601b9162918863235d330	9b18274e8161bb58a9f64d5cf1f66950638c5e628fc601b9162918863235d330	retain-pristine
src/core/softpc/base/ccpu386/not.h	base/ccpu386/not.h	source-or-header	identical-original	not-directly-selected	8a3cb20a8e512ea11bc353701165606833d83b408b90e0ab070e85924e08c784	8a3cb20a8e512ea11bc353701165606833d83b408b90e0ab070e85924e08c784	2e1be46d255f48457c2939cb9ccf7bdda7f266a7cd2e61c4602309a7c0acadf3	2e1be46d255f48457c2939cb9ccf7bdda7f266a7cd2e61c4602309a7c0acadf3	retain-pristine
src/core/softpc/base/ccpu386/ntstubs.c	base/ccpu386/ntstubs.c	source-or-header	identical-original	literal-reference	e25542825eb5efb323deae41e8d8368e75e5dcc2acabad02a974f602e67641e8	e25542825eb5efb323deae41e8d8368e75e5dcc2acabad02a974f602e67641e8	912ec6c45016efdd418ded92f627db44d89464ba647c51ec36d7eef374124b77	912ec6c45016efdd418ded92f627db44d89464ba647c51ec36d7eef374124b77	retain-pristine
src/core/softpc/base/ccpu386/ntthread.c	base/ccpu386/ntthread.c	source-or-header	direct-original-diff	literal-reference	9c20d975f9221e1edde93e8f2a4bc71f627ae3d85d9c62b2aa28869502a21d4c	3fd33dc3055ac59e0958a8335c9f3d3155d36d76ac1e178c7dd1e4232deb5528	e3b29e8504884381be2f207f5431c879cae95324002f0036025b512dd1d0cf2b	2d53c54d4da2638517dad589e8a9ebede974b53e8b8f7188504cf4154fa7588c	overlay
src/core/softpc/base/ccpu386/ntthread.h	base/ccpu386/ntthread.h	source-or-header	identical-original	not-directly-selected	a30d41e57c90bc0b27366debdaa1e6a23c214cc07d757e9f46c7b43fa636328e	a30d41e57c90bc0b27366debdaa1e6a23c214cc07d757e9f46c7b43fa636328e	05fdbcb60903eaf038a32b092baf74558394f1230b6f4e83fc16522798c99ebf	05fdbcb60903eaf038a32b092baf74558394f1230b6f4e83fc16522798c99ebf	retain-pristine
